idx,start,stop,text,speaker,strt_Frm,end_Frm
45,"00:04:56,760","00:04:58,790",The grid controller? Where does he get off... ,DYATLOV,7097,7145
46,"00:04:58,793","00:05:02,633","It's not the grid controller's decision, Dyatlov. ",BRYUKHANOV,7145,7241
47,"00:05:02,635","00:05:04,758",It's the end of the month. ,BRYUKHANOV,7241,7289
48,"00:05:04,760","00:05:07,466",All the productivity quotas. ,BRYUKHANOV,7289,7361
49,"00:05:07,468","00:05:10,299","Everyone's working overtime, the factories need power. ",BRYUKHANOV,7361,7433
50,"00:05:10,301","00:05:12,257",Someone's pushing down from above. ,BRYUKHANOV,7433,7481
51,"00:05:12,259","00:05:14,843","Although, we'll never know who. ",BRYUKHANOV,7481,7529
52,"00:05:22,384","00:05:24,758","So, do we have to scrap it or what? ",BRYUKHANOV,7720,7768
53,"00:05:24,760","00:05:27,215","No, I don't think so. ",FOMIN,7768,7840
54,"00:05:27,217","00:05:29,215","If we need to wait ten hours, ",FOMIN,7840,7888
55,"00:05:29,217","00:05:30,924","- we wait - Running at half power, ",BRYUKHANOV,7888,7912
56,"00:05:30,926","00:05:33,299",we're not going to have stability issues? ,BRYUKHANOV,7912,7984
57,"00:05:33,301","00:05:36,551","- No, I-I should think... - I'm not asking you. ",BRYUKHANOV,7984,8056
58,"00:05:39,176","00:05:40,591",It's safe. ,DYATLOV,8128,8152
59,"00:05:40,593","00:05:42,215",We'll maintain at 1600. ,DYATLOV,8152,8200
60,"00:05:42,217","00:05:44,883","I'll go home, get some sleep, come back tonight. ",DYATLOV,8200,8248
61,"00:05:44,885","00:05:46,924",We'll proceed then. ,DYATLOV,8248,8296
62,"00:05:46,926","00:05:49,299",I'll personally supervise the test. ,DYATLOV,8296,8368
63,"00:05:49,301","00:05:51,801",And it will be completed. ,DYATLOV,8368,8416
64,"00:05:55,468","00:05:58,299","Well, I'm not waiting around then. ",BRYUKHANOV,8512,8584
65,"00:05:58,301","00:05:59,801",Call me when it's done. ,BRYUKHANOV,8584,8608
66,"00:06:29,829","00:06:36,504","- <font color=""#D81D1D"">Synced and corrected by VitoSilans</font> - -- <font color=""#138CE9"">www.MY-SUBS.com</font> -- ",CHARKOV,9327,9495
67,"00:07:37,259","00:07:38,843",How do you feel? ,CHARKOV,10957,10981
68,"00:07:40,676","00:07:42,215",You went to the doctor yesterday. ,CHARKOV,11029,11077
69,"00:07:42,217","00:07:44,424",How is your health? ,CHARKOV,11077,11125
70,"00:07:44,426","00:07:46,635",You don't know? ,LEGASOV,11125,11173
71,"00:07:47,760","00:07:49,382",From Vienna. ,CHARKOV,11197,11245
72,"00:07:49,384","00:07:50,926",Do you read German? ,CHARKOV,11245,11269
73,"00:07:52,426","00:07:58,007","It says, ""At last a Soviet scientist who tells the truth."" ",CHARKOV,11317,11461
74,"00:07:58,009","00:07:59,924","Obviously, I resent the insinuation, ",CHARKOV,11461,11485
75,"00:07:59,926","00:08:01,313","but I think it's fair to say, ",CHARKOV,11485,11533
76,"00:08:01,314","00:08:03,838",you made an excellent impression at the conference. ,CHARKOV,11533,11581
77,"00:08:03,840","00:08:06,716","Turns out, you're quite good at this. ",CHARKOV,11581,11653
78,"00:08:06,718","00:08:08,674",At what? Lying? ,LEGASOV,11653,11701
79,"00:08:08,676","00:08:11,758","Statecraft, Legasov. Statecraft. ",CHARKOV,11701,11773
80,"00:08:11,760","00:08:14,257",The West is now satisfied ,CHARKOV,11773,11845
81,"00:08:14,259","00:08:17,299","that Chernobyl was solely the result of operator error, ",CHARKOV,11845,11917
82,"00:08:17,301","00:08:19,382",which it essentially was. ,CHARKOV,11917,11965
83,"00:08:19,384","00:08:21,382","We have you to thank for that, ",CHARKOV,11965,12012
84,"00:08:21,384","00:08:23,051",and we intend to. ,CHARKOV,12012,12060
85,"00:08:27,092","00:08:29,633","""Hero of the Soviet Union."" ",LEGASOV,12156,12204
86,"00:08:29,635","00:08:31,758",Our highest honor. ,CHARKOV,12204,12252
87,"00:08:31,760","00:08:34,591",They haven't even given it to me. ,CHARKOV,12252,12324
88,"00:08:34,593","00:08:38,593","""Promotion to Director of the Kurchatov Institute."" ",LEGASOV,12324,12420
89,"00:08:41,051","00:08:42,716",I'm humbled. ,LEGASOV,12492,12516
90,"00:08:42,718","00:08:47,341","I don't think there's anything humble about you, Valery Alexeyevich. ",CHARKOV,12516,12636
91,"00:08:47,343","00:08:49,883",These rewards are not yours yet. ,CHARKOV,12636,12684
92,"00:08:49,885","00:08:51,716","First, your testimony at the trial. ",CHARKOV,12684,12732
93,"00:08:51,718","00:08:56,965","Comrade Charkov, I understand my duty to the State. ",LEGASOV,12732,12852
94,"00:08:56,967","00:08:59,716",But you gave us assurances. ,LEGASOV,12852,12924
95,"00:08:59,718","00:09:02,215",The reactors would be made safe. ,LEGASOV,12924,12996
96,"00:09:02,217","00:09:04,716","It's been months, no changes have been made. ",LEGASOV,12996,13044
97,"00:09:04,718","00:09:08,384","changes even discussed. - First, the trial.",LEGASOV,13044,13139
98,"00:09:09,593","00:09:12,007","Once it's over, we will have our villains, ",CHARKOV,13163,13235
99,"00:09:12,009","00:09:16,132","we will have our hero, we will have our truth. ",CHARKOV,13235,13331
100,"00:09:16,134","00:09:19,676","After that, we can deal with the reactors. ",CHARKOV,13331,13403
101,"00:10:44,176","00:10:46,174",Did you take a train? ,LEGASOV,15441,15489
102,"00:10:46,176","00:10:49,007","Yes, I took a train. ",KHOMYUK,15489,15561
103,"00:10:49,009","00:10:51,924",Now let's talk about Vienna. ,KHOMYUK,15561,15609
104,"00:10:51,926","00:10:54,049",I'm not here to scold you. ,KHOMYUK,15609,15681
105,"00:10:54,051","00:10:57,718",I know how the world works despite what Shcherbina says. ,KHOMYUK,15681,15753
106,"00:10:58,926","00:11:02,382",So... why are you here? ,LEGASOV,15777,15873
107,"00:11:02,384","00:11:05,382",Because I'm brutally stubborn. ,KHOMYUK,15873,15945
108,"00:11:05,384","00:11:07,593",Which you were hoping for. ,KHOMYUK,15945,15993
109,"00:11:11,384","00:11:15,801",Charkov is saying they're going to fix the reactors after the trial. ,LEGASOV,16089,16185
110,"00:11:17,426","00:11:19,007",Do you believe him? ,KHOMYUK,16233,16281
111,"00:11:21,966","00:11:24,282","The State will never willingly fix the reactors, ",KHOMYUK,16329,16400
112,"00:11:24,285","00:11:27,799",because acknowledging the problem means admitting that they lied. ,KHOMYUK,16400,16472
113,"00:11:27,801","00:11:29,718",They will have to be forced. ,KHOMYUK,16472,16520
114,"00:11:36,718","00:11:40,426","At the trial, you're going to tell the truth. ",KHOMYUK,16688,16784
115,"00:11:41,760","00:11:43,965",You're going to convince the jury. ,KHOMYUK,16808,16856
116,"00:11:43,967","00:11:46,299",It's a show trial. ,LEGASOV,16856,16928
117,"00:11:46,301","00:11:48,314",The jury's already been handed their verdict. ,LEGASOV,16928,16976
118,"00:11:48,317","00:11:49,944",I'm not talking about them. ,KHOMYUK,16976,17000
119,"00:11:52,092","00:11:53,883",The Central Committee have invited ,KHOMYUK,17072,17096
120,"00:11:53,885","00:11:57,591",members of the scientific community to observe the trial. ,KHOMYUK,17096,17192
121,"00:11:57,593","00:12:01,341","Our colleagues, from Kurchatov, ",KHOMYUK,17192,17288
122,"00:12:01,343","00:12:03,466","from Sredmash, from Minenergo, ",KHOMYUK,17288,17336
123,"00:12:03,468","00:12:07,257",they will be sitting in the crowd listening to every word you say. ,KHOMYUK,17336,17432
124,"00:12:07,259","00:12:09,424",A jury that only we know is there. ,KHOMYUK,17432,17479
125,"00:12:09,426","00:12:13,509",And when your testimony arrives at the moment of the explosion? ,KHOMYUK,17479,17575
126,"00:12:15,134","00:12:18,716",That is when our jury will finally hear the truth. ,KHOMYUK,17623,17695
127,"00:12:18,718","00:12:21,591",And do what with it? - Insist on reform.,LEGASOV,17695,17767
128,"00:12:23,176","00:12:25,306","Not just to the RBMK, but the entire industry. ",KHOMYUK,17815,17863
129,"00:12:25,309","00:12:26,799","No, no, no, no, no. ",SHCHERBINA,17863,17887
130,"00:12:26,801","00:12:29,299","- They can't function without us. - No, no, no. ",SHCHERBINA,17887,17959
131,"00:12:29,301","00:12:31,591",Do you know what happened to Volkov ,KHOMYUK,17959,18007
132,"00:12:31,593","00:12:34,132",the man whose report you found? ,LEGASOV,18007,18079
133,"00:12:34,134","00:12:38,924",They just removed him from his position at the Institute. ,LEGASOV,18079,18175
134,"00:12:38,926","00:12:42,132",Sacked for the crime of knowing. ,LEGASOV,18175,18271
135,"00:12:42,134","00:12:44,507","And you think that these scientists, ",LEGASOV,18271,18319
136,"00:12:44,509","00:12:47,341","handpicked to witness a show trial, ",SHCHERBINA,18319,18391
137,"00:12:47,343","00:12:51,049",will somehow be stirred into action by me? ,JUDGE KADNIKOV,18391,18487
138,"00:12:51,051","00:12:55,174",Because of some heroic stance I take in defiance of the State? ,LEGASOV,18487,18582
139,"00:12:55,176","00:12:57,210",Yes. - Why?,LEGASOV,18582,18630
140,"00:12:57,213","00:13:01,092","Because you're Valery Legasov, and you mean something. ",LEGASOV,18630,18726
141,"00:13:03,127","00:13:05,845","I'd like to think that if I spoke out, it would be enough. ",CHARKOV,18774,18822
142,"00:13:07,009","00:13:09,509",But I know how the world works. ,CHARKOV,18870,18918
143,"00:13:12,217","00:13:15,468","They will shoot me, Khomyuk. ",CHARKOV,18990,19062
144,"00:13:18,343","00:13:21,633",You told me to find out what happened. ,JUDGE KADNIKOV,19134,19206
145,"00:13:21,635","00:13:23,841",I spoke to dozens of people. ,CHARKOV,19206,19254
146,"00:13:23,843","00:13:28,466","Every word they said, I wrote down. ",LEGASOV,19254,19374
147,"00:13:28,468","00:13:30,883",All in these books. ,CHARKOV,19374,19422
148,"00:13:30,885","00:13:32,633",These are the ones who are still alive. ,LEGASOV,19422,19470
149,"00:13:32,635","00:13:34,382",These are the ones who are dead. ,CHARKOV,19470,19518
150,"00:13:34,384","00:13:36,429",They died rescuing each other. ,CHARKOV,19518,19566
151,"00:13:36,432","00:13:39,341","Putting out fires, tending to the wounded. ",CHARKOV,19566,19637
152,"00:13:39,343","00:13:41,215","They didn't hesitate, they didn't waiver. ",LEGASOV,19637,19685
153,"00:13:41,217","00:13:43,466",They simply did what had to be done. ,JUDGE KADNIKOV,19685,19733
154,"00:13:43,468","00:13:45,416",So have I. ,CHARKOV,19733,19781
155,"00:13:45,504","00:13:47,580",So have I. ,CHARKOV,19781,19829
156,"00:13:47,583","00:13:50,716",I went willingly to an open reactor. ,LEGASOV,19829,19901
157,"00:13:50,718","00:13:54,090",So I've already given my life. ,LEGASOV,19901,19997
158,"00:13:54,092","00:13:56,217",Isn't that enough? ,CHARKOV,19997,20045
159,"00:13:57,718","00:14:00,885","No, I'm sorry, but it is not. ",LEGASOV,20069,20141
160,"00:15:09,343","00:15:12,341",The Central Committee of the Communist Party of the Soviet Union ,CHARKOV,21796,21867
161,"00:15:12,343","00:15:15,424",and the Presidium of the Supreme Soviet of the U.S.S.R. ,JUDGE KADNIKOV,21867,21939
162,"00:15:15,426","00:15:17,424",has determined that justice be carried out ,JUDGE KADNIKOV,21939,21987
163,"00:15:17,426","00:15:18,924",on behalf of the People ,CHARKOV,21987,22011
164,"00:15:18,926","00:15:21,507",in accordance with the general goal of our Party ,LEGASOV,22011,22083
165,"00:15:21,509","00:15:25,299","as determined by its 20th, 21st, and 22nd Congresses, ",LEGASOV,22083,22179
166,"00:15:25,301","00:15:27,299",which is a Leninist goal. ,CHARKOV,22179,22227
167,"00:15:27,301","00:15:28,591","It was, is, and will be ",CHARKOV,22227,22251
168,"00:15:28,593","00:15:31,341",the only immutable goal in the Soviet state. ,JUDGE KADNIKOV,22251,22323
169,"00:15:31,343","00:15:32,716",The path of Leninist principles ,CHARKOV,22323,22347
170,"00:15:32,718","00:15:35,507",shall be consistently and undeviatingly followed ,CHARKOV,22347,22419
171,"00:15:35,509","00:15:38,841","as it expresses the vital interests of the Soviet People, ",JUDGE KADNIKOV,22419,22491
172,"00:15:38,843","00:15:40,174",its hopes and aspirations ,LEGASOV,22491,22539
173,"00:15:40,176","00:15:42,609",as we guide the life of the Party and the State. ,CHARKOV,22539,22587
174,"00:15:42,612","00:15:44,716","This session of court is now open, ",CHARKOV,22587,22635
175,"00:15:44,718","00:15:47,843",Comrade Judge Milan Kadnikov presiding. ,JUDGE KADNIKOV,22635,22707
176,"00:15:49,343","00:15:50,591",Indictments: ,CHARKOV,22755,22779
177,"00:15:50,593","00:15:52,716","Viktor Bryukhanov, ",LEGASOV,22779,22827
178,"00:15:52,718","00:15:55,007","Anatoly Dyatlov, ",LEGASOV,22827,22898
179,"00:15:55,009","00:15:57,007",Nikolai Fomin... ,CHARKOV,22898,22946
180,"00:15:57,009","00:16:00,049",are accused of violating Article 220 Section 2 ,LEGASOV,22946,23018
181,"00:16:00,051","00:16:02,312","of the Criminal Code of the Soviet Union, ",JUDGE KADNIKOV,23018,23066
182,"00:16:02,315","00:16:07,299","resulting in a nuclear disaster on April 26, 1986. ",LEGASOV,23066,23186
183,"00:16:07,301","00:16:09,883",The State calls witnesses Comrade Khomyuk ,CHARKOV,23186,23234
184,"00:16:09,885","00:16:12,341","of the Byelorussian Nuclear Institute, ",CHARKOV,23234,23306
185,"00:16:12,343","00:16:16,507","Comrade Legasov of the Kurchatov Institute of Atomic Energy, ",CHARKOV,23306,23402
186,"00:16:16,509","00:16:21,174","and Comrade Boris Evdokimovich Shcherbina, ",CHARKOV,23402,23522
187,"00:16:21,176","00:16:23,674",Deputy Chairman of the Council of Ministers ,LEGASOV,23522,23570
188,"00:16:23,676","00:16:27,217",and head of the Bureau for Fuel and Energy. ,CHARKOV,23570,23666
189,"00:17:01,092","00:17:06,758","It began with, of all things, a safety test. ",CHARKOV,24481,24601
190,"00:17:06,760","00:17:09,758",Why was there need for a safety test at all? ,LEGASOV,24601,24673
191,"00:17:09,760","00:17:14,090",Reactor Number 4 was not new when the accident occurred. ,LEGASOV,24673,24793
192,"00:17:14,092","00:17:19,716","In fact, it went into operation on December 20th, 1983. ",LEGASOV,24793,24913
193,"00:17:19,718","00:17:23,758","Eleven days later, on the last day of the year, ",LEGASOV,24913,25009
194,"00:17:23,760","00:17:28,591",Plant Director Viktor Bryukhanov signed this document... ,JUDGE KADNIKOV,25009,25128
195,"00:17:28,593","00:17:34,926",certifying the completion of the construction of the reactor. ,LEGASOV,25128,25272
196,"00:17:36,592","00:17:41,048","As a result of finishing the work before the end of the year, ",LEGASOV,25320,25440
197,"00:17:41,051","00:17:44,883",Comrade Bryukhanov was awarded Hero of Socialist Labor. ,LEGASOV,25440,25512
198,"00:17:44,885","00:17:49,633",Comrade Fomin was awarded for Valorous Labor. ,LEGASOV,25512,25632
199,"00:17:49,635","00:17:54,301",Comrade Dyatlov was given an Order of the Red Banner. ,LEGASOV,25632,25752
200,"00:17:56,217","00:17:58,843",But their work was not finished. ,LEGASOV,25800,25848
201,"00:18:00,384","00:18:04,674",And this document was a lie. ,LEGASOV,25896,25992
202,"00:18:04,676","00:18:07,633","In order to sign this certificate, ",CHARKOV,25992,26064
203,"00:18:07,635","00:18:12,090","all safety tests had to have been successfully completed, ",CHARKOV,26064,26183
204,"00:18:12,092","00:18:15,217","and yet, one remained. ",CHARKOV,26183,26255
205,"00:18:17,259","00:18:22,507",A nuclear reactor generates heat in the core here. ,LEGASOV,26303,26423
206,"00:18:22,509","00:18:24,799","A series of pumps, here and here, ",LEGASOV,26423,26471
207,"00:18:24,801","00:18:28,341",send a constant flow of cooling water through the core. ,LEGASOV,26471,26567
208,"00:18:28,343","00:18:30,883","The core's heat turns the water to steam, ",LEGASOV,26567,26615
209,"00:18:30,885","00:18:33,341","and the steam spins the turbine here, ",CHARKOV,26615,26687
210,"00:18:33,343","00:18:35,716",and the result is electricity. ,CHARKOV,26687,26735
211,"00:18:35,718","00:18:39,468",But what if a power plant has no power? ,CHARKOV,26735,26831
212,"00:18:40,343","00:18:44,007",What if the power feeding the plant itself is disrupted? ,CHARKOV,26855,26951
213,"00:18:44,009","00:18:46,633","A blackout, equipment failure, ",CHARKOV,26951,26999
214,"00:18:46,635","00:18:49,507",or an attack by a foreign enemy? ,LEGASOV,26999,27071
215,"00:18:49,509","00:18:51,382","If there's no power, ",LEGASOV,27071,27119
216,"00:18:51,384","00:18:54,341",the pumps cannot move water through the core. ,LEGASOV,27119,27191
217,"00:18:54,343","00:18:57,215","And without water, the core overheats, ",LEGASOV,27191,27262
218,"00:18:57,217","00:18:58,799",the fuel melts down. ,LEGASOV,27262,27286
219,"00:18:58,801","00:19:01,299","In short, a nuclear disaster. ",CHARKOV,27286,27358
220,"00:19:01,301","00:19:03,049",The solution? ,JUDGE KADNIKOV,27358,27406
221,"00:19:03,051","00:19:07,049",Three diesel fuel backup generators here. ,LEGASOV,27406,27502
222,"00:19:07,051","00:19:09,382","So, problem solved? ",LEGASOV,27502,27550
223,"00:19:09,384","00:19:10,924",No. ,LEGASOV,27550,27574
224,"00:19:10,927","00:19:13,716",Bryukhanov knew that the problem was not solved at all. ,CHARKOV,27574,27646
225,"00:19:13,718","00:19:17,215",The backup generators took approximately one minute ,CHARKOV,27646,27742
226,"00:19:17,217","00:19:19,591",to reach the speed required ,LEGASOV,27742,27790
227,"00:19:19,593","00:19:21,928","to power the pumps and prevent a meltdown, ",CHARKOV,27790,27838
228,"00:19:21,931","00:19:26,341","and by that time, it would be too late. ",CHARKOV,27838,27958
229,"00:19:26,343","00:19:28,718",So we arrive at the safety test. ,LEGASOV,27958,28006
230,"00:19:30,426","00:19:34,132","The theory was this: If the facility lost power, ",CHARKOV,28054,28150
231,"00:19:34,134","00:19:36,049","the turbine, which had been spinning, ",LEGASOV,28150,28198
232,"00:19:36,051","00:19:38,841",would take some time to slow down and stop. ,LEGASOV,28198,28246
233,"00:19:38,843","00:19:41,299",What if you could take the electricity ,CHARKOV,28246,28318
234,"00:19:41,301","00:19:44,591",it was still generating and transfer it to the pumps? ,LEGASOV,28318,28389
235,"00:19:44,593","00:19:46,257",What if the dying turbine ,LEGASOV,28389,28437
236,"00:19:46,259","00:19:48,466",could keep the pumps working long enough ,CHARKOV,28437,28485
237,"00:19:48,468","00:19:52,926",to bridge the 60-second gap until the generators came on? ,LEGASOV,28485,28581
238,"00:19:57,801","00:19:59,259",Any questions? ,CHARKOV,28701,28749
239,"00:20:00,718","00:20:04,134","No. Continue, please. ",CHARKOV,28773,28869
240,"00:20:05,760","00:20:08,049","To test this theory, ",LEGASOV,28893,28965
241,"00:20:08,051","00:20:11,090",the reactor is placed in a reduced power mode... ,LEGASOV,28965,29037
242,"00:20:11,092","00:20:12,758",700 megawatts... ,LEGASOV,29037,29061
243,"00:20:12,760","00:20:15,424",to simulate a blackout condition. ,CHARKOV,29061,29133
244,"00:20:15,426","00:20:17,424","Then the turbines are turned off, ",LEGASOV,29133,29181
245,"00:20:17,426","00:20:19,507","and as they slowly spin down, ",LEGASOV,29181,29229
246,"00:20:19,509","00:20:21,382",their electrical output is measured ,CHARKOV,29229,29277
247,"00:20:21,384","00:20:25,132",to see if it's enough to power the pumps. ,CHARKOV,29277,29373
248,"00:20:25,134","00:20:27,466","The science is strong, ",LEGASOV,29373,29421
249,"00:20:27,468","00:20:32,509",but a test is only as good as the men carrying it out. ,CHARKOV,29421,29540
250,"00:20:33,801","00:20:37,299","Now, the first time they tried, they failed. ",CHARKOV,29564,29660
251,"00:20:37,301","00:20:40,132","The second time they tried, they failed. ",JUDGE KADNIKOV,29660,29732
252,"00:20:40,134","00:20:42,883","The third time they tried, they failed. ",CHARKOV,29732,29780
253,"00:20:42,885","00:20:45,965",The fourth time they tried ,LEGASOV,29780,29852
254,"00:20:45,967","00:20:50,134","was April 26th, 1986. ",LEGASOV,29852,29972
255,"00:21:01,757","00:21:03,757",Comrade Khomyuk. ,CHARKOV,30236,30284
256,"00:21:27,509","00:21:29,341","To understand what happened that night, ",JUDGE KADNIKOV,30859,30907
257,"00:21:29,343","00:21:31,424",we have to go back ten hours earlier... ,LEGASOV,30907,30955
258,"00:21:31,426","00:21:35,007","April 25th, the day the test was meant to take place. ",JUDGE KADNIKOV,30955,31051
259,"00:21:35,009","00:21:36,341","By two in the afternoon, ",CHARKOV,31051,31075
260,"00:21:36,343","00:21:38,466",the reactor has been lowered by half ,LEGASOV,31075,31123
261,"00:21:38,468","00:21:41,716",from its normal output level of 3200 megawatts ,CHARKOV,31123,31195
262,"00:21:41,718","00:21:44,007",to 1600 megawatts and is stable ,LEGASOV,31195,31267
263,"00:21:44,009","00:21:47,215",and ready to be reduced to its final output level for the test: ,LEGASOV,31267,31339
264,"00:21:47,217","00:21:49,215",700 megawatts. ,LEGASOV,31339,31387
265,"00:21:49,217","00:21:53,176","But before they can proceed, there is a phone call. ",CHARKOV,31387,31483
266,"00:21:54,217","00:21:57,299",Power grid officials in Kiev say that they cannot afford ,CHARKOV,31507,31579
267,"00:21:57,301","00:22:00,758",a further reduction in the electricity until after midnight. ,CHARKOV,31579,31650
268,"00:22:00,760","00:22:03,384",They are asking for a ten-hour delay. ,LEGASOV,31650,31722
269,"00:22:04,426","00:22:06,382","This is the first critical moment, ",CHARKOV,31746,31794
270,"00:22:06,384","00:22:08,924",the first link in the chain of disaster. ,CHARKOV,31794,31842
271,"00:22:08,926","00:22:13,591",Competent management would have insisted on canceling the test. ,CHARKOV,31842,31962
272,"00:22:13,593","00:22:16,593",These three men allowed it to proceed. ,JUDGE KADNIKOV,31962,32034
273,"00:22:18,301","00:22:20,382",Why was this delay so dangerous? ,LEGASOV,32082,32130
274,"00:22:20,384","00:22:23,132",It created two problems: ,CHARKOV,32130,32202
275,"00:22:23,134","00:22:26,092",One of them is scientific in nature... ,CHARKOV,32202,32274
276,"00:22:27,217","00:22:29,924",and the other is very human. ,CHARKOV,32298,32346
277,"00:22:29,926","00:22:32,051",This is the one we will consider first. ,LEGASOV,32346,32418
278,"00:22:32,967","00:22:37,092","At midnight, there is a shift change. ",LEGASOV,32418,32538
279,"00:22:48,760","00:22:51,343",Hey. ,LEGASOV,32801,32873
280,"00:22:52,084","00:22:55,233",Khodemchuk... - Forget it. Find another fool.,CHARKOV,32897,32969
281,"00:22:55,236","00:22:57,799","Toptunov, want to buy a motorcycle? ",CHARKOV,32969,33017
282,"00:22:57,801","00:23:00,257",Toptunov? He's just a little boy. ,CHARKOV,33017,33089
283,"00:23:00,259","00:23:02,257",He's got more hair on his face than on his balls. ,CHARKOV,33089,33137
284,"00:23:02,259","00:23:04,633",Hair? Is that what's on his lip? ,CHARKOV,33137,33185
285,"00:23:06,718","00:23:08,299",Leonid Fedorovych. ,LEGASOV,33233,33281
286,"00:23:08,301","00:23:11,061",Akimov says to come to the control room as soon as you can. ,LEGASOV,33281,33353
287,"00:23:11,064","00:23:13,014",Is he already here? - he came in early.,LEGASOV,33353,33401
288,"00:23:13,017","00:23:14,801",Something about a test. ,LEGASOV,33401,33425
289,"00:23:15,967","00:23:19,967",You see? Desperate. ,LEGASOV,33449,33545
290,"00:23:27,760","00:23:29,468",Sasha? ,CHARKOV,33737,33785
291,"00:23:30,509","00:23:34,299",Ah. You know the test they were supposed to run? ,CHARKOV,33808,33904
292,"00:23:34,301","00:23:36,965","The turbine rundown, they tried it last year. ",LEGASOV,33904,33952
293,"00:23:36,967","00:23:40,466","They couldn't do it on the day shift, so they've given it to us. ",LEGASOV,33952,34048
294,"00:23:40,468","00:23:41,591",To us? ,LEGASOV,34048,34072
295,"00:23:41,593","00:23:43,176",- We don't know what... - Shh. ,LEGASOV,34072,34120
296,"00:23:44,801","00:23:46,965",- We don't know what it is. - It's fine. ,LEGASOV,34144,34192
297,"00:23:46,967","00:23:49,174","We take it down to 700, hold it there, ",LEGASOV,34192,34264
298,"00:23:49,176","00:23:52,007","the rest is Stolyarchuk and Kirschenbaum, but... ",LEGASOV,34264,34336
299,"00:23:52,009","00:23:54,512",Dyatlov is gonna be supervising. ,CHARKOV,34336,34384
300,"00:23:54,515","00:23:56,924",I have to do something I've never done before ,LEGASOV,34384,34432
301,"00:23:56,926","00:23:58,449",with Dyatlov looking over my shoulder? ,LEGASOV,34432,34480
302,"00:23:58,452","00:24:01,257","Yeah, well, don't worry, we'll do it together. ",LEGASOV,34480,34552
303,"00:24:01,259","00:24:03,924",I'm looking at the instructions now. ,LEGASOV,34552,34600
304,"00:24:03,926","00:24:07,468",Are we supposed to do those or not? ,CHARKOV,34600,34696
305,"00:24:15,384","00:24:18,007","Yes, this is Akimov in 4. ",LEGASOV,34887,34959
306,"00:24:18,009","00:24:21,674",I have the manual for the rundown test. ,LEGASOV,34959,35031
307,"00:24:21,676","00:24:24,591",You did it last year. ,LEGASOV,35031,35103
308,"00:24:24,593","00:24:27,049","Yes, in the program there's instructions of what to do, ",CHARKOV,35103,35175
309,"00:24:27,051","00:24:29,591","and then, well, there's a lot of things crossed out. ",LEGASOV,35175,35223
310,"00:24:29,593","00:24:31,051",What should I...? ,LEGASOV,35223,35271
311,"00:24:32,843","00:24:34,718","Well, what should I...? ",LEGASOV,35295,35343
312,"00:24:36,551","00:24:38,174",Are you sure? ,CHARKOV,35391,35439
313,"00:24:38,176","00:24:40,885",Right. Thank you. ,LEGASOV,35439,35487
314,"00:24:42,259","00:24:45,132",He says to follow the crossed-out instructions. ,CHARKOV,35535,35607
315,"00:24:45,134","00:24:47,424",So then why are they crossed out? ,CHARKOV,35607,35655
316,"00:24:53,926","00:24:56,549",We've been cleared to run the test. ,LEGASOV,35799,35871
